 title, type, socket, performance, cores, year, price, power
Xeon Gold 6448Y,серверный,Intel Socket 4677,39.08,32 / 64,2023,−,225 W
Core i9-14900KF,десктопный,FCLGA1700,38.86,/,2023,531 USD,−
EPYC 7642,серверный,AMD Socket TR4,38.81,48 / 96,2019,893 USD,225 W
Xeon Gold 5512U,серверный,Intel Socket 4677,38.71,28 / 56,2023,−,185 W
Core i9-13900K,десктопный,Intel Socket 1700,38.34,24 / 328 x 5.8 GHz Intel Raptor Cove P-Core16 x 4.3 GHz Intel Gracemont E-Core,2022,600 USD,125 W
EPYC 7513,серверный,AMD Socket SP3,38.33,32 / 64,2021,4189 USD,200 W
EPYC 7473X,серверный,AMD Socket SP3,38.32,24 / 48,2022,5548 USD,240 W
Xeon W-3375,серверный,Intel Socket 4189,38.19,38 / 76,2021,−,270 W
Xeon W-3365,серверный,Intel Socket 4189,38.17,32 / 64,2021,−,270 W
Xeon w7-2495X,серверный,Intel Socket 4677,38.16,24 / 48,2023,3196 USD,225 W
Xeon Gold 6421N,серверный,Intel Socket 4677,38.01,32 / 64,2023,−,185 W
Core i9-13900KF,десктопный,Intel Socket 1700,37.92,24 / 32,2022,539 USD,125 W
Ryzen 9 7945HX3D,для ноутбуков,FL1,37.44,16 / 32,2023,−,55 W
Xeon Gold 5420+,серверный,Intel Socket 4677,37.23,28 / 56,2023,−,205 W
Xeon Gold 6423N,серверный,FCLGA4677,37.13,/,2023,−,−
EPYC 7443P,серверный,AMD Socket SP3,36.99,24 / 48,2021,2206 USD,200 W
Xeon Gold 6414U,серверный,Intel Socket 4677,36.98,32 / 64,2023,−,250 W
Xeon w7-3455,серверный,Intel Socket 4677,36.96,24 / 48,2023,−,270 W
EPYC 7443,серверный,AMD Socket SP3,36.14,24 / 48,2021,3528 USD,200 W
EPYC 9174F,серверный,AMD Socket SP5,35.87,16 / 32,2022,4180 USD,320 W
EPYC 7401,серверный,AMD Socket TR4,35.74,24 / 48,2017,1477 USD,170 W
Ryzen 9 7945HX,для ноутбуков,AMD Socket FL1,35.48,16 / 32,2023,−,55 W
Ryzen Threadripper 3960X,десктопный,AMD Socket TR4,35.48,24 / 48,2019,1725 USD,280 W
Xeon w7-2475X,серверный,Intel Socket 4677,35.21,20 / 40,2023,1878 USD,225 W
Xeon Platinum 8358,серверный,Intel Socket 4189,35.18,32 / 64,2021,6415 USD,250 W
Xeon Platinum 8360Y,серверный,Intel Socket 4189,34.96,36 / 72,2021,6527 USD,250 W
Core i7-14700K,десктопный,Intel Socket 1700,34.67,20 / 288 x 5.6 GHz Intel Raptor Cove P-Core12 x 3.4 GHz Intel Gracemont E-Core,2023,594 USD,125 W
Ryzen 9 7940HX,для ноутбуков,FL1,34.58,16 / 3216 x 5.2 GHz AMD Zen 4,2024,−,55 W
Core i7-14700KF,десктопный,FCLGA1700,34.55,/,2023,379 USD,−
Xeon Platinum 8160M,серверный,Socket P,34.37,24 / 48,2017,397 USD,150 W
EPYC 7532,серверный,Socket SP3,34.30,32 / 64,2020,2019 USD,200 W
